location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Sea To Sky,2019-04-26T22:48:43+00:00,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Last Avalanche Forecast for the season. For additional information check out our </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_9255B882"">Spring Conditions</span></a><span class=""s_AA239A9B""> page at: https://goo.gl/cpx8Dq</span></p>",Due to the number of field observations
South Coast Inland,2019-04-26T22:44:59+00:00,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Last Avalanche Forecast for the season. For additional information check out our </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_9255B882"">Spring Conditions</span></a><span class=""s_AA239A9B""> page at:  https://goo.gl/cpx8Dq</span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span></p>",Due to the number of field observations
South Coast,2019-04-25T23:38:05Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">We have finished writing Avalanche Forecasts for the season. Friday's weather forecast calls for sun and a high freezing level. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario3"" target=""_blank""><span class=""s_9255B882"">All Melt, No Freeze</span></a><span class=""s_AA239A9B""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_9255B882"">Spring Conditions</span></a><span class=""s_AA239A9B""> page.</span></p>",N/A
North Columbia,2019-04-26T22:50:41+00:00,considerable,considerable,moderate,low,"<p class=""p_CC664AAA""><span class=""s_3428770D"">Last Avalanche Forecast for the season. For additional information check out our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_4B5860F6"">Spring Conditions</span></a><span class=""s_3428770D""> page at: </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_4B5860F6"">https://goo.gl/cpx8Dq</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><span class=""s_3FE45715"">New snow and moderate winds from a variety of directions may form touchy wind slabs reactive to human triggers.</span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span></p>",Forecast snowfall amounts are uncertain
South Columbia,2019-04-26T22:41:52+00:00,considerable,moderate,moderate,low,"<p class=""p_CC664AAA""><span class=""s_3428770D"">Last Avalanche Forecast for the season. For additional information check out our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_4B5860F6"">Spring Conditions</span></a><span class=""s_3428770D""> page at: </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_4B5860F6"">https://goo.gl/cpx8Dq</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><span class=""s_3FE45715"">New snow and moderate winds from a variety of directions may form touchy wind slabs reactive to human triggers. </span></p>",Forecast snowfall amounts are uncertain
Purcells,2019-04-26T23:07:20+00:00,considerable,considerable,moderate,low,"<p class=""p_CC664AAA""><span class=""s_3428770D"">Last Avalanche Forecast for the season. For additional information check out our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_4B5860F6"">Spring Conditions</span></a><span class=""s_3428770D""> page at: </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_4B5860F6"">https://goo.gl/cpx8Dq</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><span class=""s_3FE45715"">New snow and moderate winds from a variety of directions may form touchy wind slabs reactive to human triggers.</span></p>",Forecast snowfall amounts are uncertain
Kootenay Boundary,2019-04-26T22:32:39+00:00,moderate,moderate,moderate,low,"<p class=""p_CC664AAA""><span class=""s_3428770D"">Last Avalanche Forecast for the season. For additional information check out our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_4B5860F6"">Spring Conditions</span></a><span class=""s_3428770D""> page at: </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_4B5860F6"">https://goo.gl/cpx8Dq</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><span class=""s_3FE45715"">New snow and moderate winds from a variety of directions may form small wind slabs reactive to human triggers.</span></p>",Forecast snowfall amounts are uncertain
South Rockies,2019-04-26T22:36:16+00:00,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Snow at upper elevations is in the forecast for the weekend. Under these conditions click on </span><a href=""https://goo.gl/crvD8j"" target=""_blank""><span class=""s_9255B882"">Cold and Snowy</span></a><span class=""s_AA239A9B""> when reading through our </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_9255B882"">Spring Conditions</span></a><span class=""s_AA239A9B""> page.</span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span></p>",N/A
Lizard Range and Flathead,2019-04-26T22:53:49+00:00,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Last Avalanche Forecast for the season. For additional information check out our </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_9255B882"">Spring Conditions</span></a><span class=""s_AA239A9B""> page at:  https://goo.gl/cpx8Dq</span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span></p>",Due to the number of field observations
"Kananaskis Country, Alberta Parks",2019-04-20T22:43:55Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Happy Easter!&nbsp; The recent snow and winds have built new windslabs in alpine areas.&nbsp; Solar radiation is forecast to be strong Sunday and Monday so early starts are critical. </span></p>",N/A
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2019-04-26T22:59:01+00:00,considerable,considerable,moderate,low,"<p class=""p_CC664AAA""><span class=""s_3428770D"">Last Avalanche Forecast for the season. For additional information check out our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_4B5860F6"">Spring Conditions</span></a><span class=""s_3428770D""> page at: </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_4B5860F6"">https://goo.gl/cpx8Dq</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><span class=""s_3FE45715"">New snow and moderate winds from a variety of directions may form touchy wind slabs reactive to human triggers.</span></p>",Forecast snowfall amounts are uncertain
Northwest Coastal,2019-04-26T22:40:42+00:00,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Last avalanche forecast for the season. For additional information check out our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_9255B882"">Spring Conditions</span></a><span class=""s_AA239A9B""> page at:&nbsp; https://goo.gl/cpx8Dq</span></p>",Due to the number of field observations
Northwest Inland,2019-04-25T23:43:28+00:00,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">We have finished writing Avalanche Forecasts for the season. Friday's forecast calls for light precipitation and a fluctuating freezing level. Under these conditions click on Daily </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_9255B882"">Melt-Freeze Cycles</span></a><span class=""s_AA239A9B""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_9255B882"">Spring Conditions</span></a><span class=""s_AA239A9B""> page.</span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span></p>",N/A
Sea To Sky,2019-04-26T22:48:43+00:00,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Last Avalanche Forecast for the season. For additional information check out our </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_9255B882"">Spring Conditions</span></a><span class=""s_AA239A9B""> page at: https://goo.gl/cpx8Dq</span></p>",Due to the number of field observations
South Coast Inland,2019-04-26T22:44:59+00:00,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Last Avalanche Forecast for the season. For additional information check out our </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_9255B882"">Spring Conditions</span></a><span class=""s_AA239A9B""> page at:  https://goo.gl/cpx8Dq</span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span></p>",Due to the number of field observations
South Coast,2019-04-25T23:38:05Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">We have finished writing Avalanche Forecasts for the season. Friday's weather forecast calls for sun and a high freezing level. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario3"" target=""_blank""><span class=""s_9255B882"">All Melt, No Freeze</span></a><span class=""s_AA239A9B""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_9255B882"">Spring Conditions</span></a><span class=""s_AA239A9B""> page.</span></p>",N/A
North Columbia,2019-04-26T22:50:41+00:00,considerable,considerable,moderate,low,"<p class=""p_CC664AAA""><span class=""s_3428770D"">Last Avalanche Forecast for the season. For additional information check out our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_4B5860F6"">Spring Conditions</span></a><span class=""s_3428770D""> page at: </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_4B5860F6"">https://goo.gl/cpx8Dq</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><span class=""s_3FE45715"">New snow and moderate winds from a variety of directions may form touchy wind slabs reactive to human triggers.</span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span></p>",Forecast snowfall amounts are uncertain
South Columbia,2019-04-26T22:41:52+00:00,considerable,moderate,moderate,low,"<p class=""p_CC664AAA""><span class=""s_3428770D"">Last Avalanche Forecast for the season. For additional information check out our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_4B5860F6"">Spring Conditions</span></a><span class=""s_3428770D""> page at: </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_4B5860F6"">https://goo.gl/cpx8Dq</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><span class=""s_3FE45715"">New snow and moderate winds from a variety of directions may form touchy wind slabs reactive to human triggers. </span></p>",Forecast snowfall amounts are uncertain
Purcells,2019-04-26T23:07:20+00:00,considerable,considerable,moderate,low,"<p class=""p_CC664AAA""><span class=""s_3428770D"">Last Avalanche Forecast for the season. For additional information check out our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_4B5860F6"">Spring Conditions</span></a><span class=""s_3428770D""> page at: </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_4B5860F6"">https://goo.gl/cpx8Dq</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><span class=""s_3FE45715"">New snow and moderate winds from a variety of directions may form touchy wind slabs reactive to human triggers.</span></p>",Forecast snowfall amounts are uncertain
Kootenay Boundary,2019-04-26T22:32:39+00:00,moderate,moderate,moderate,low,"<p class=""p_CC664AAA""><span class=""s_3428770D"">Last Avalanche Forecast for the season. For additional information check out our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_4B5860F6"">Spring Conditions</span></a><span class=""s_3428770D""> page at: </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_4B5860F6"">https://goo.gl/cpx8Dq</span></a><span class=""s_AA239A9B"" /></p><p class=""p_CC664AAA""><span class=""s_3FE45715"">New snow and moderate winds from a variety of directions may form small wind slabs reactive to human triggers.</span></p>",Forecast snowfall amounts are uncertain
South Rockies,2019-04-26T22:36:16+00:00,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Snow at upper elevations is in the forecast for the weekend. Under these conditions click on </span><a href=""https://goo.gl/crvD8j"" target=""_blank""><span class=""s_9255B882"">Cold and Snowy</span></a><span class=""s_AA239A9B""> when reading through our </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_9255B882"">Spring Conditions</span></a><span class=""s_AA239A9B""> page.</span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span></p>",N/A
Lizard Range and Flathead,2019-04-26T22:53:49+00:00,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Last Avalanche Forecast for the season. For additional information check out our </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_9255B882"">Spring Conditions</span></a><span class=""s_AA239A9B""> page at:  https://goo.gl/cpx8Dq</span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span></p>",Due to the number of field observations
"Kananaskis Country, Alberta Parks",2019-04-20T22:43:55Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Happy Easter!&nbsp; The recent snow and winds have built new windslabs in alpine areas.&nbsp; Solar radiation is forecast to be strong Sunday and Monday so early starts are critical. </span></p>",N/A
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2019-04-29T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The theme of the current weather forecast is for a mix of sun and cloud with isolated flurries, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
Northwest Coastal,2019-04-29T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The theme of the current weather forecast is for warm temperatures and sunshine during the day, with a weak or no freeze overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario3"" target=""_blank""><span class=""s_D900E2BA"">All Melt, No Freeze</span></a><span class=""s_3FE45715""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_623915E5"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_42FC617C""> page</span></a><span class=""s_3FE45715"">.</span></p>",N/A
Northwest Inland,2019-04-25T23:43:28+00:00,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">We have finished writing Avalanche Forecasts for the season. Friday's forecast calls for light precipitation and a fluctuating freezing level. Under these conditions click on Daily </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_9255B882"">Melt-Freeze Cycles</span></a><span class=""s_AA239A9B""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_9255B882"">Spring Conditions</span></a><span class=""s_AA239A9B""> page.</span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span></p>",N/A
Sea To Sky,2019-04-29T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The theme of the current weather forecast is for sunshine during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
South Coast Inland,2019-04-29T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The theme of the current weather forecast is for sunshine during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
South Coast,2019-04-25T23:38:05Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">We have finished writing Avalanche Forecasts for the season. Friday's weather forecast calls for sun and a high freezing level. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario3"" target=""_blank""><span class=""s_9255B882"">All Melt, No Freeze</span></a><span class=""s_AA239A9B""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_9255B882"">Spring Conditions</span></a><span class=""s_AA239A9B""> page.</span></p>",N/A
North Columbia,2019-04-29T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The theme of the current weather forecast is for sunshine during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
South Columbia,2019-04-29T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The theme of the current weather forecast is for sunshine during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
Purcells,2019-04-29T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The theme of the current weather forecast is for a mix of sun and cloud during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
Kootenay Boundary,2019-04-29T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The theme of the current weather forecast is for sunshine during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
South Rockies,2019-04-26T22:36:16+00:00,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Snow at upper elevations is in the forecast for the weekend. Under these conditions click on </span><a href=""https://goo.gl/crvD8j"" target=""_blank""><span class=""s_9255B882"">Cold and Snowy</span></a><span class=""s_AA239A9B""> when reading through our </span><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_9255B882"">Spring Conditions</span></a><span class=""s_AA239A9B""> page.</span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span></p>",N/A
Lizard Range and Flathead,2019-04-29T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The theme of the current weather forecast is for a mix of sun and cloud during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
"Kananaskis Country, Alberta Parks",2019-04-29T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">A return to wintery conditions at upper elevations requires a shift in mindset. Be prepared for wind slabs in the Alpine. Otherwise, this time of year brings rapid changes to the snowpack and avalanche hazard with solar radiation and warm temps.</span></p>",N/A
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2019-04-30T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The current weather forecast is for cloudy skies and flurries during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
Northwest Coastal,2019-04-29T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The theme of the current weather forecast is for warm temperatures and sunshine during the day, with a weak or no freeze overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario3"" target=""_blank""><span class=""s_D900E2BA"">All Melt, No Freeze</span></a><span class=""s_3FE45715""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_623915E5"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_42FC617C""> page</span></a><span class=""s_3FE45715"">.</span></p>",N/A
Northwest Inland,2019-04-30T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The current weather forecast is for warm temperatures and sunshine during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
Sea To Sky,2019-04-30T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The current weather forecast is for a mix of sun and cloud during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
South Coast Inland,2019-04-30T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The current weather forecast is for a mix of sun and cloud during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
South Coast,2019-04-30T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The current weather forecast is for warm temperatures and sunshine during the day, with a weak or no freeze overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario3"" target=""_blank""><span class=""s_D900E2BA"">All Melt, No Freeze</span></a><span class=""s_3FE45715""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_623915E5"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_42FC617C""> page</span></a><span class=""s_3FE45715"">.</span></p>",N/A
North Columbia,2019-04-30T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The current weather forecast is for cloudy skies with isolated flurries during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
South Columbia,2019-04-30T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The current weather forecast is for mostly cloudy skies with isolated flurries during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
Purcells,2019-04-30T22:00:00Z,norating,norating,norating,N/A,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The current weather forecast is for mostly cloudy skies and isolated flurries during the day, followed by cool temperatures overnight. Under these conditions click on </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank""><span class=""s_D900E2BA"">Daily Melt-Freeze Cycles</span></a><span class=""s_1681A555""> when reading through our </span><a href=""https://www.avalanche.ca/pages/static-page/spring-conditions"" target=""_blank""><span class=""s_D900E2BA"">Spring Conditions</span></a><a href=""https://goo.gl/cpx8Dq"" target=""_blank""><span class=""s_2F726580""> page</span></a><span class=""s_1681A555"">.</span></p>",N/A
